range_m,depth_m,amp,db,split
667.0,4.0,0.004005361499813076,-47.94716562011424,validation
667.0,5.0,0.0047407744330880425,-46.48301416000206,train
667.0,6.0,0.005447696712516763,-45.275741574573644,validation
667.0,7.0,0.006142765029173955,-44.232721936763085,train
667.0,8.0,0.006794257055736677,-43.357160518833844,train
667.0,9.0,0.007319858124626473,-42.70994672934846,train
667.0,10.0,0.007611136836249795,-42.37100940115636,train
667.0,11.0,0.007574402313920638,-42.4130326215485,train
667.0,12.0,0.0071504466703776045,-42.91333656140168,train
667.0,13.0,0.006324827683462539,-43.97902604222324,train
667.0,14.0,0.00513194546805218,-45.79435934153786,validation
667.0,15.0,0.0036633279269974255,-48.72248406454173,validation
667.0,16.0,0.002123953416829386,-53.457100251206846,train
667.0,17.0,0.0013309403677048957,-57.51682804988852,train
667.0,18.0,0.0023487654446628864,-52.58320702225784,validation
667.0,19.0,0.003747150802543018,-48.525976571033524,validation
667.0,20.0,0.004911510193754153,-46.17569900491232,train
667.0,21.0,0.005666237527932331,-44.93410447732782,validation
667.0,22.0,0.0059266673556207464,-44.5437889520054,train
667.0,23.0,0.005664149050886982,-44.93730653600548,train
667.0,24.0,0.0049010402515240635,-46.19423461351805,train
668.0,1.0,0.0011895000178721827,-58.492710942029206,train
668.0,2.0,0.0022917632957344773,-52.79660480795841,validation
668.0,3.0,0.0032526416918559485,-49.75527551161757,train
668.0,4.0,0.004071905951162663,-47.804045229156685,train
668.0,5.0,0.0047977556328645836,-46.37923752003216,train
668.0,6.0,0.005486925809451237,-45.213418240087044,train
668.0,7.0,0.00616126782485776,-44.206598247992375,train
668.0,8.0,0.006793879606881166,-43.35764306904441,train
668.0,9.0,0.007305222868762493,-42.72733060021375,train
668.0,10.0,0.007587662561069111,-42.39783982642201,validation
668.0,11.0,0.007547114533623661,-42.44438118370638,train
668.0,12.0,0.007123425994719831,-42.946221664493876,train
668.0,13.0,0.006301039902221051,-44.01175540290601,train
668.0,14.0,0.005113190836153897,-45.826159961851246,validation
668.0,15.0,0.0036500854908433295,-48.753939271052936,train
668.0,16.0,0.0021142384544927803,-53.49692064681405,train
668.0,17.0,0.0013170966054369924,-57.60764739112848,train
668.0,18.0,0.0023320608981056883,-52.64520225694027,train
668.0,19.0,0.003727482800220004,-48.57168703683819,validation
668.0,20.0,0.004889345956579323,-46.214984643482865,validation
668.0,21.0,0.005642870984224901,-44.96999758215803,train
668.0,22.0,0.005903664959785914,-44.57756594458424,train
668.0,23.0,0.005643098408314277,-44.96964752263315,train
668.0,24.0,0.00488339719154304,-46.22555901798275,validation
669.0,1.0,0.0012174073147707843,-58.29128186248583,train
669.0,2.0,0.002342681925938315,-52.60573346141223,train
669.0,3.0,0.003317466503913523,-49.58386906927935,train
669.0,4.0,0.004138939182493358,-47.66221910137156,train
669.0,5.0,0.004855406651767635,-46.275487820895336,train
669.0,6.0,0.005526792431082898,-45.150536916897494,validation
669.0,7.0,0.006180120162915705,-44.18006161283897,train
669.0,8.0,0.006793422476495641,-43.35822752415639,train
669.0,9.0,0.007290088543593411,-42.74534393635519,train
669.0,10.0,0.007563380477034744,-42.42568103605397,train
669.0,11.0,0.007518838502955622,-42.47698486560594,train
669.0,12.0,0.0070953562875397565,-42.980515838302075,train
669.0,13.0,0.006276232594535374,-44.046019400327154,train
669.0,14.0,0.005093516469650746,-45.8596457046434,validation
669.0,15.0,0.0036360832329095667,-48.78732367963061,train
669.0,16.0,0.0021040385901745107,-53.538925980991905,train
669.0,17.0,0.001303425272153797,-57.69827725418699,validation
669.0,18.0,0.0023158014658160027,-52.70597351025992,train
669.0,19.0,0.0037081805997497288,-48.61678245082732,validation
669.0,20.0,0.00486744839655463,-46.25397288125515,train
669.0,21.0,0.005619685082598346,-45.005760417166144,train
669.0,22.0,0.005880775645544132,-44.611307776559705,train
669.0,23.0,0.005622112658027865,-45.00200912167354,train
669.0,24.0,0.004865785532772544,-46.256940744051775,train
670.0,1.0,0.001245307922059127,-58.09446498234503,train
670.0,2.0,0.002393648240708845,-52.41879342231418,validation
670.0,3.0,0.00338249373092492,-49.415259992920085,validation
670.0,4.0,0.004206404436076219,-47.52177946460587,validation
670.0,5.0,0.004913675504426806,-46.17187054804299,train
670.0,6.0,0.005567259706249464,-45.087170377668386,train
670.0,7.0,0.006199305356944255,-44.153139424703426,train
670.0,8.0,0.006792883576461169,-43.35891657476508,train
